Material,Duration,Week,Day,Topic,Chapter,Problemset,Project Milestone
Content + Skills,16 weeks,10,2,Open Science,2,,Project Progress Check 2 (Pilot B)
Content + Skills,16 weeks,11,1,Visualization 1,14,,
Content + Skills,16 weeks,11,2,Visualization 2,,,
Content + Skills,16 weeks,12,1,Exploratory Data Analysis Workshop,,,
Content + Skills,16 weeks,12,2,"Sampling, Representativeness, and Generalizability ",3,,"Project Progress Check 3 (Ready to Run), Preregistration"
Content + Skills,16 weeks,13,1,Data and Participant Ethics,,,
Content + Skills,16 weeks,13,2,Authorship and Research Ethics,,,
Content + Skills,16 weeks,14,1,?,,,
Content + Skills,16 weeks,14,2,?,,Visualization and Simulation,
Content + Skills,16 weeks,15,1,Open Discussion,,,
Content + Skills,16 weeks,15,2,Open Discussion,,,
Content + Skills,16 weeks,16,1,Final Project Presentations 1,,,
Content + Skills,16 weeks,16,2,Final Project Presentations 2,,,Final Project
Content ONLY,10 weeks,1,M,Class Introduction ,1, , 
Content ONLY,10 weeks,1,W,Theory and Experiments,2,,
Content ONLY,10 weeks,1,F,Version Control,,Git + Github,Complete CITI training and upload certificate
Content ONLY,10 weeks,2,M,Reproducible reports,20,,
Content ONLY,10 weeks,2,W,Tidyverse Tutorial,21,,
Content ONLY,10 weeks,2,F,Tidyverse Tutorial continued (with TAs),,,Project Proposal
Content ONLY,10 weeks,3,M,"Measurement, Reliability, and Validity ",7,,
Content ONLY,10 weeks,3,W,Design of Experiments,8,,
Content ONLY,10 weeks,3,F,Sampling ,9,Data Wrangling,
Content ONLY,10 weeks,4,M,Project Management ,13,,
Content ONLY,10 weeks,4,W,Experiments 1: Simple survey experiments using Qualtrics,,,
Content ONLY,10 weeks,4,F,Experiments 2: Project-specific Implementation (TAs),,,Project Report
Content ONLY,10 weeks,5,M,Estimation,4,,
Content ONLY,10 weeks,5,W,Inference,5,,
Content ONLY,10 weeks,5,F,Sample Size Planning,,,Project Progress Check 1 (Pilot A)
Content ONLY,10 weeks,6,M,Survey Design,,,
Content ONLY,10 weeks,6,W,Midterm Presentations 1,,,
Content ONLY,10 weeks,6,F,Midterm Presentations 2,,Reproducibility,
Content ONLY,10 weeks,7,M,Preregistration,10,,
Content ONLY,10 weeks,7,W,Meta-analysis,17,,
Content ONLY,10 weeks,7,F,Open Science,2,,Project Progress Check 2 (Pilot B)
Content ONLY,10 weeks,8,M,Visualization 1,14,,
Content ONLY,10 weeks,8,W,Visualization 2,,,
Content ONLY,10 weeks,8,F,Exploratory Data Analysis Workshop,,,"Project Progress Check 3 (Ready to Run), Preregistration"
Content ONLY,10 weeks,9,M,"Sampling, Representativeness, and Generalizability ",3,,
Content ONLY,10 weeks,9,W,Data and Participant Ethics,,,
Content ONLY,10 weeks,9,F,Authorship and Research Ethics,,Visualization and Simulation,
Content ONLY,10 weeks,10,M,Open Discussion,,,
Content ONLY,10 weeks,10,W,Final Project Presentations 1,,,
Content ONLY,10 weeks,10,F,Final Project Presentations 2,,,Final Project
Content ONLY,16 weeks,1,1,Class Introduction ,1, , 
Content ONLY,16 weeks,1,2,Theory and Experiments,2,,
Content ONLY,16 weeks,2,1,Version Control,,,
Content ONLY,16 weeks,2,2,Reproducible reports,20,Git + Github,Complete CITI training and upload certificate
Content ONLY,16 weeks,3,1,Tidyverse Tutorial,21,,
Content ONLY,16 weeks,3,2,Tidyverse Tutorial continued (with TAs),,,Project Proposal
Content ONLY,16 weeks,4,1,"Measurement, Reliability, and Validity ",7,,
Content ONLY,16 weeks,4,2,Design of Experiments,8,,
Content ONLY,16 weeks,5,1,Sampling ,9,,
Content ONLY,16 weeks,5,2,Project Management ,13,Data Wrangling,
Content ONLY,16 weeks,6,1,Experiments 1: Simple survey experiments using Qualtrics,,,
Content ONLY,16 weeks,6,2,Experiments 2: Project-specific Implementation (TAs),,,Project Report
Content ONLY,16 weeks,7,1,Estimation,4,,
Content ONLY,16 weeks,7,2,Inference,5,,Project Progress Check 1 (Pilot A)
Content ONLY,16 weeks,8,1,Sample Size Planning,,,
Content ONLY,16 weeks,8,2,Survey Design,,,
Content ONLY,16 weeks,9,1,Midterm Presentations 1,,,
Content ONLY,16 weeks,9,2,Midterm Presentations 2,,Reproducibility,
Content ONLY,16 weeks,10,1,Preregistration,10,,
Content ONLY,16 weeks,10,2,Open Science,2,,Project Progress Check 2 (Pilot B)
Content ONLY,16 weeks,11,1,Visualization 1,14,,
Content ONLY,16 weeks,11,2,Visualization 2,,,
Content ONLY,16 weeks,12,1,Exploratory Data Analysis Workshop,,,
Content ONLY,16 weeks,12,2,"Sampling, Representativeness, and Generalizability ",3,,"Project Progress Check 3 (Ready to Run), Preregistration"
Content ONLY,16 weeks,13,1,Data and Participant Ethics,,,
Content ONLY,16 weeks,13,2,Authorship and Research Ethics,,,
Content ONLY,16 weeks,14,1,?,,,
Content ONLY,16 weeks,14,2,?,,Visualization and Simulation,
Content ONLY,16 weeks,15,1,Open Discussion,,,
Content ONLY,16 weeks,15,2,Open Discussion,,,
Content ONLY,16 weeks,16,1,Final Project Presentations 1,,,
Content ONLY,16 weeks,16,2,Final Project Presentations 2,,,Final Project
